Topic,Count,Name,Representation,Representative_Docs
105,12,105_name_lord most_exalt_most great,"['name', 'lord most', 'exalt', 'most great', 'your lord', 'worship your', 'most', 'lord who', 'owner', 'lord']","['So exalt the name of your Lord, the Most Great.', 'So exalt the name of your Lord, the Most Great.', 'So exalt the name of your Lord, the Most Great.']"
106,12,106_this day_day_day which_been promised,"['this day', 'day', 'day which', 'been promised', 'cry', 'every nation', 'greatest', 'destruction', 'nation', 'today']","['And you will see every nation kneeling [from fear]. Every nation will be called to its record [and told], ""Today you will be recompensed for what you used to do.', 'They will not be grieved by the greatest terror, and the angels will meet them, [saying], ""This is your Day which you have been promised"" -', 'And it will be said, ""Today We will forget you as you forgot the meeting of this Day of yours, and your refuge is the Fire, and for you there are no helpers.']"
107,12,107_those ones_ones_worthless_ones who,"['those ones', 'ones', 'worthless', 'ones who', 'hereafter', 'deeds have', 'become worthless', 'in hereafter', 'have become', 'worst']","['They are the ones whose deeds have become worthless in this world and the Hereafter, and for them there will be no helpers.', 'Those are the ones for whom there is not in the Hereafter but the Fire. And lost is what they did therein, and worthless is what they used to do.', 'Those are the ones who disbelieve in the verses of their Lord and in [their] meeting Him, so their deeds have become worthless; and We will not assign to them on the Day of Resurrection any importance.']"
108,12,108_blind_equal_hear_not equal,"['blind', 'equal', 'hear', 'not equal', 'deaf', 'backs', 'retreating', 'one who', 'seeing', 'like one']","['Not equal are the blind and the seeing,', 'Indeed, you will not make the dead hear, nor will you make the deaf hear the call when they have turned their backs retreating.', 'So indeed, you will not make the dead hear, nor will you make the deaf hear the call when they turn their backs, retreating.']"
109,12,109_that day_soul will_which will_day,"['that day', 'soul will', 'which will', 'day', 'then know', 'people will', 'will then', 'soul', 'know what', 'what it']","['A soul will [then] know what it has brought [with it].', 'Indeed in that is a sign for those who fear the punishment of the Hereafter. That is a Day for which the people will be collected, and that is a Day [which will be] witnessed.', 'Every soul will taste death, and you will only be given your [full] compensation on the Day of Resurrection. So he who is drawn away from the Fire and admitted to Paradise has attained [his desire]. And what is the life of this world except the enjoyment of delusion.']"
110,12,110_what our_us_decree_by allah,"['what our', 'us', 'decree', 'by allah', 'our fathers', 'that we', 'omen', 'we should', 'worshipped', 'fathers']","['They said, ""O Salih, you were among us a man of promise before this. Do you forbid us to worship what our fathers worshipped? And indeed we are, about that to which you invite us, in disquieting doubt.""', 'They said, ""O Shu\'ayb, does your prayer command you that we should leave what our fathers worship or not do with our wealth what we please? Indeed, you are the forbearing, the discerning!""', 'They said, ""Have you come to us that we should worship Allah alone and leave what our fathers have worshipped? Then bring us what you promise us, if you should be of the truthful.""']"
111,12,111_jinn_jinn mankind_which do_mankind,"['jinn', 'jinn mankind', 'which do', 'mankind', 'with which', 'but word', 'surely fill', 'witness against', 'fill hell', 'jinn men']","['From among the jinn and mankind.""', 'And if We had willed, We could have given every soul its guidance, but the word from Me will come into effect [that] ""I will surely fill Hell with jinn and people all together.', 'Except whom your Lord has given mercy, and for that He created them. But the word of your Lord is to be fulfilled that, ""I will surely fill Hell with jinn and men all together.""']"
112,12,112_wine_spring_drink_flowing,"['wine', 'spring', 'drink', 'flowing', 'in both', 'given drink', 'mixture', 'be given', 'springs', 'both']","['And they will be given to drink a cup [of wine] whose mixture is of ginger', 'There will be circulated among them a cup [of wine] from a flowing spring,', 'With vessels, pitchers and a cup [of wine] from a flowing spring -']"
113,12,113_protector or_any protector_allah any_earth,"['protector or', 'any protector', 'allah any', 'earth', 'not besides', 'helper', 'any helper', 'upon earth', 'or any', 'protector']","['And you will not cause failure [to Allah] upon the earth or in the heaven. And you have not other than Allah any protector or any helper.', 'Do you not know that to Allah belongs the dominion of the heavens and the earth and [that] you have not besides Allah any protector or any helper?', 'Indeed, to Allah belongs the dominion of the heavens and the earth; He gives life and causes death. And you have not besides Allah any protector or any helper.']"
114,12,114_plan_planned_firm_will give,"['plan', 'planned', 'firm', 'will give', 'but we', 'do intend', 'conspired', 'conspiracy', 'perceived not', 'plan then']","['Or do they intend a plan? But those who disbelieve - they are the object of a plan.', 'And they planned a plan, and We planned a plan, while they perceived not.', 'Indeed, they are planning a plan,']"
115,12,115_david_names_solomon_gave,"['david', 'names', 'solomon', 'gave', 'birds', 'we gave', 'david we', 'bounty we', 'taught', 'few']","['And We certainly gave David from Us bounty. [We said], ""O mountains, repeat [Our] praises with him, and the birds [as well]."" And We made pliable for him iron,', 'And We gave understanding of the case to Solomon, and to each [of them] We gave judgement and knowledge. And We subjected the mountains to exalt [Us], along with David and [also] the birds. And We were doing [that].', '[David] said, ""He has certainly wronged you in demanding your ewe [in addition] to his ewes. And indeed, many associates oppress one another, except for those who believe and do righteous deeds - and few are they."" And David became certain that We had tried him, and he asked forgiveness of his Lord and fell down bowing [in prostration] and turned in repentance [to Allah].']"
116,12,116_create_not create_that between_between in,"['create', 'not create', 'that between', 'between in', 'we did', 'earth that', 'we created', 'created', 'creation', 'play']","['And We did not create the heaven and the earth and that between them aimlessly. That is the assumption of those who disbelieve, so woe to those who disbelieve from the Fire.', 'And We did not create the heaven and earth and that between them in play.', 'And We did not create the heavens and earth and that between them in play.']"
117,12,117_reward doers_reward_doers good_doers,"['reward doers', 'reward', 'doers good', 'doers', 'thus', 'good', 'best reward', 'from us', 'reward who', 'but good']","['Indeed, We thus reward the doers of good.', 'Indeed, We thus reward the doers of good.', 'Indeed, We thus reward the doers of good.']"
118,12,118_peace_born_alive_let him,"['peace', 'born', 'alive', 'let him', 'raised', 'day', 'possible', 'will die', 'task', 'peace then']","['Only a saying: ""Peace, peace.""', 'And peace is on me the day I was born and the day I will die and the day I am raised alive.""', 'And peace be upon him the day he was born and the day he dies and the day he is raised alive.']"
119,11,119_couches_adorned couches_on adorned_reclining on,"['couches', 'adorned couches', 'on adorned', 'reclining on', 'reclining', 'adorned', 'on', 'facing each', 'lined up', 'left in']","['On adorned couches, observing.', 'On adorned couches, observing.', 'They and their spouses - in shade, reclining on adorned couches.']"
120,11,120_will grieve_grieve_no fear_concerning nor,"['will grieve', 'grieve', 'no fear', 'concerning nor', 'be concerning', 'nor will', 'fear will', 'will there', 'there be', 'concerning']","['[To whom Allah will say], ""O My servants, no fear will there be concerning you this Day, nor will you grieve,', 'Indeed, those who have believed [in Prophet Muhammad] and those [before Him] who were Jews or Sabeans or Christians - those [among them] who believed in Allah and the Last Day and did righteousness - no fear will there be concerning them, nor will they grieve.', 'Indeed, those who believed and those who were Jews or Christians or Sabeans [before Prophet Muhammad] - those [among them] who believed in Allah and the Last Day and did righteousness - will have their reward with their Lord, and no fear will there be concerning them, nor will they grieve.']"
121,11,121_those before_observed how_observed_wronged but,"['those before', 'observed how', 'observed', 'wronged but', 'not traveled', 'but allah', 'traveled', 'traveled through', 'than in', 'wronging themselves']","['Have they not traveled through the land and observed how was the end of those who were before them? They were greater than them in strength and in impression on the land, but Allah seized them for their sins. And they had not from Allah any protector.', 'Have they not traveled through the land and observed how was the end of those before them? And they were greater than them in power. But Allah is not to be caused failure by anything in the heavens or on the earth. Indeed, He is ever Knowing and Competent.', 'Have they not traveled through the earth and observed how was the end of those before them? They were greater than them in power, and they plowed the earth and built it up more than they have built it up, and their messengers came to them with clear evidences. And Allah would not ever have wronged them, but they were wronging themselves.']"
122,11,122_urge_seizure_consequence what_punishment if,"['urge', 'seizure', 'consequence what', 'punishment if', 'consequence', 'portion', 'punishment', 'punish', 'lord', 'my lord']","['They impatiently urge you to bring about evil before good, while there has already occurred before them similar punishments [to what they demand]. And indeed, your Lord is full of forgiveness for the people despite their wrongdoing, and indeed, your Lord is severe in penalty.', 'Corruption has appeared throughout the land and sea by [reason of] what the hands of people have earned so He may let them taste part of [the consequence of] what they have done that perhaps they will return [to righteousness].', 'And they urge you to hasten the punishment. And if not for [the decree of] a specified term, punishment would have reached them. But it will surely come to them suddenly while they perceive not.']"
123,11,123_mary_delivered_angel_garment,"['mary', 'delivered', 'angel', 'garment', 'mention', 'zechariah', 'son', 'son mary', 'female', 'chosen']","['But when she delivered her, she said, ""My Lord, I have delivered a female."" And Allah was most knowing of what she delivered, ""And the male is not like the female. And I have named her Mary, and I seek refuge for her in You and [for] her descendants from Satan, the expelled [from the mercy of Allah].""', 'So her Lord accepted her with good acceptance and caused her to grow in a good manner and put her in the care of Zechariah. Every time Zechariah entered upon her in the prayer chamber, he found with her provision. He said, ""O Mary, from where is this [coming] to you?"" She said, ""It is from Allah. Indeed, Allah provides for whom He wills without account.""', '[And mention] when the angels said, ""O Mary, indeed Allah gives you good tidings of a word from Him, whose name will be the Messiah, Jesus, the son of Mary - distinguished in this world and the Hereafter and among those brought near [to Allah].']"
124,11,124_your plan_recite_accepted from_my,"['your plan', 'recite', 'accepted from', 'my', 'sound', 'my lord', 'accepted', 'upon your', 'me', 'news']","['And say, ""Praise to Allah, who has not taken a son and has had no partner in [His] dominion and has no [need of a] protector out of weakness; and glorify Him with [great] glorification.""', 'And recite to them the story of Adam\'s two sons, in truth, when they both offered a sacrifice [to Allah], and it was accepted from one of them but was not accepted from the other. Said [the latter], ""I will surely kill you."" Said [the former], ""Indeed, Allah only accepts from the righteous [who fear Him].', 'And recite to them the news of Noah, when he said to his people, ""O my people, if my residence and my reminding of the signs of Allah has become burdensome upon you - then I have relied upon Allah. So resolve upon your plan and [call upon] your associates. Then let not your plan be obscure to you. Then carry it out upon me and do not give me respite.']"
125,11,125_produce_harvest_grow_thereby,"['produce', 'harvest', 'grow', 'thereby', 'emerging', 'fruit', 'rain', 'grapevines', 'grain', 'rain from']","['He causes to grow for you thereby the crops, olives, palm trees, grapevines, and from all the fruits. Indeed in that is a sign for a people who give thought.', 'And We have sent down blessed rain from the sky and made grow thereby gardens and grain from the harvest', 'And it is He who sends down rain from the sky, and We produce thereby the growth of all things. We produce from it greenery from which We produce grains arranged in layers. And from the palm trees - of its emerging fruit are clusters hanging low. And [We produce] gardens of grapevines and olives and pomegranates, similar yet varied. Look at [each of] its fruit when it yields and [at] its ripening. Indeed in that are signs for a people who believe.']"
126,11,126_unjust than_more unjust_who invents_who more,"['unjust than', 'more unjust', 'who invents', 'who more', 'invents', 'about allah', 'unjust', 'than one', 'lie', 'denies']","['So who is more unjust than he who invents a lie about Allah or denies His signs? Indeed, the criminals will not succeed', 'And who is more unjust than one who invents about Allah a lie or denies His verses? Indeed, the wrongdoers will not succeed.', 'And who is more unjust than one who invents a lie about Allah or denies the truth when it has come to him? Is there not in Hell a [sufficient] residence for the disbelievers?']"
127,11,127_measure_balance_give full_full measure,"['measure', 'balance', 'give full', 'full measure', 'full', 'weight', 'commit abuse', 'not deprive', 'earth spreading', 'people their']","['And do not deprive people of their due and do not commit abuse on earth, spreading corruption.', 'And give full measure when you measure, and weigh with an even balance. That is the best [way] and best in result.', 'And O my people, give full measure and weight in justice and do not deprive the people of their due and do not commit abuse on the earth, spreading corruption.']"
128,11,128_honor_madinah_power_judge,"['honor', 'madinah', 'power', 'judge', 'allah entirely', 'judge between', 'belongs', 'hypocrites', 'belongs allah', 'hypocrisy']","['Whoever desires honor [through power] - then to Allah belongs all honor. To Him ascends good speech, and righteous work raises it. But they who plot evil deeds will have a severe punishment, and the plotting of those - it will perish.', 'Those who take disbelievers as allies instead of the believers. Do they seek with them honor [through power]? But indeed, honor belongs to Allah entirely.', 'They say, ""If we return to al-Madinah, the more honored [for power] will surely expel therefrom the more humble."" And to Allah belongs [all] honor, and to His Messenger, and to the believers, but the hypocrites do not know.']"
129,10,129_all praise_praise_praise due_due allah,"['all praise', 'praise', 'praise due', 'due allah', 'due', 'need', 'lord worlds', 'belongs all', 'need praiseworthy', 'allah who']","['[All] praise is [due] to Allah, who created the heavens and the earth and made the darkness and the light. Then those who disbelieve equate [others] with their Lord.', '[All] praise is [due] to Allah, to whom belongs whatever is in the heavens and whatever is in the earth, and to Him belongs [all] praise in the Hereafter. And He is the Wise, the Acquainted.', '[All] praise is [due] to Allah, Lord of the worlds -']"
130,10,130_fire_appease_not made_that those,"['fire', 'appease', 'not made', 'that those', 'given scripture', 'does allah', 'will bring', 'who given', 'covenant', 'home']","['And they say, ""Never will the Fire touch us, except for a few days."" Say, ""Have you taken a covenant with Allah? For Allah will never break His covenant. Or do you say about Allah that which you do not know?""', 'Those who remained behind rejoiced in their staying [at home] after [the departure of] the Messenger of Allah and disliked to strive with their wealth and their lives in the cause of Allah and said, ""Do not go forth in the heat."" Say, ""The fire of Hell is more intensive in heat"" - if they would but understand.', 'And We have not made the keepers of the Fire except angels. And We have not made their number except as a trial for those who disbelieve - that those who were given the Scripture will be convinced and those who have believed will increase in faith and those who were given the Scripture and the believers will not doubt and that those in whose hearts is hypocrisy and the disbelievers will say, ""What does Allah intend by this as an example?"" Thus does Allah leave astray whom He wills and guides whom He wills. And none knows the soldiers of your Lord except Him. And mention of the Fire is not but a reminder to humanity.']"
131,10,131_clouds_rain_sky_down rain,"['clouds', 'rain', 'sky', 'down rain', 'sends', 'from sky', 'rain from', 'colors', 'see', 'makes']","['Do you not see that Allah drives clouds? Then He brings them together, then He makes them into a mass, and you see the rain emerge from within it. And He sends down from the sky, mountains [of clouds] within which is hail, and He strikes with it whom He wills and averts it from whom He wills. The flash of its lightening almost takes away the eyesight.', 'Do you not see that Allah sends down rain from the sky, and We produce thereby fruits of varying colors? And in the mountains are tracts, white and red of varying shades and [some] extremely black.', 'Do you not see that Allah sends down rain from the sky and makes it flow as springs [and rivers] in the earth; then He produces thereby crops of varying colors; then they dry and you see them turned yellow; then He makes them [scattered] debris. Indeed in that is a reminder for those of understanding.']"
132,10,132_jacob_john_heir_give me,"['jacob', 'john', 'heir', 'give me', 'him while', 'zechariah', 'me', 'inherit', 'him', 'name']","['And when they entered from where their father had ordered them, it did not avail them against Allah at all except [it was] a need within the soul of Jacob, which he satisfied. And indeed, he was a possessor of knowledge because of what We had taught him, but most of the people do not know.', 'So the angels called him while he was standing in prayer in the chamber, ""Indeed, Allah gives you good tidings of John, confirming a word from Allah and [who will be] honorable, abstaining [from women], and a prophet from among the righteous.""', '[Jacob] said, ""Never will I send him with you until you give me a promise by Allah that you will bring him [back] to me, unless you should be surrounded by enemies."" And when they had given their promise, he said, ""Allah, over what we say, is Witness.""']"
133,10,133_their refuge_wretched destination_wretched_refuge,"['their refuge', 'wretched destination', 'wretched', 'refuge', 'disbelievers', 'disbelievers hypocrites', 'destination', 'harsh', 'against disbelievers', 'be fire']","['We will cast terror into the hearts of those who disbelieve for what they have associated with Allah of which He had not sent down [any] authority. And their refuge will be the Fire, and wretched is the residence of the wrongdoers.', 'O Prophet, fight against the disbelievers and the hypocrites and be harsh upon them. And their refuge is Hell, and wretched is the destination.', 'O Prophet, strive against the disbelievers and the hypocrites and be harsh upon them. And their refuge is Hell, and wretched is the destination.']"
134,10,134_our signs_signs_denied our_signs those,"['our signs', 'signs', 'denied our', 'signs those', 'our', 'as way', 'if see', 'disbelieved denied', 'companions hellfire', 'adopt']","['But those who disbelieve and deny Our signs - those are the companions of Hellfire.', 'But those who disbelieved and denied Our signs - they are the companions of Hellfire.', 'I will turn away from My signs those who are arrogant upon the earth without right; and if they should see every sign, they will not believe in it. And if they see the way of consciousness, they will not adopt it as a way; but if they see the way of error, they will adopt it as a way. That is because they have denied Our signs and they were heedless of them.']"
135,10,135_ridicule_used ridicule_enveloped_enveloped by,"['ridicule', 'used ridicule', 'enveloped', 'enveloped by', 'ridicule but', 'already messengers', 'how terrible', 'terrible my', 'used', 'before but']","['And when their messengers came to them with clear proofs, they [merely] rejoiced in what they had of knowledge, but they were enveloped by what they used to ridicule.', 'And already were messengers ridiculed before you, but those who mocked them were enveloped by that which they used to ridicule.', 'And already were messengers ridiculed before you, but those who mocked them were enveloped by what they used to ridicule.']"
136,10,136_criminals_thus_thus do_do we,"['criminals', 'thus', 'thus do', 'do we', 'into hearts', 'will we', 'insert', 'others for', 'criminals that', 'thus have']","['And thus do We detail the verses, and [thus] the way of the criminals will become evident.', 'Thus do We insert denial into the hearts of the criminals.', 'Thus do We deal with the criminals.']"
137,10,137_abraham_peace_peace upon_calf,"['abraham', 'peace', 'peace upon', 'calf', 'then what', 'here', 'what your', 'messengers', 'called', 'then went']","['[Abraham] said, ""Then what is your business [here], O messengers?""', '""Peace upon Abraham.""', 'And certainly did Our messengers come to Abraham with good tidings; they said, ""Peace."" He said, ""Peace,"" and did not delay in bringing [them] a roasted calf.']"
138,10,138_hour_only with_knowledge only_when its,"['hour', 'only with', 'knowledge only', 'when its', 'hour coming', 'muhammad about', 'ask muhammad', 'ask', 'about it', 'doubt about']","['Indeed, the Hour is coming - no doubt about it - but most of the people do not believe.', 'And when it was said, \'Indeed, the promise of Allah is truth and the Hour [is coming] - no doubt about it,\' you said, \'We know not what is the Hour. We assume only assumption, and we are not convinced.\' ""', 'They ask you, [O Muhammad], about the Hour: when is its arrival? Say, ""Its knowledge is only with my Lord. None will reveal its time except Him. It lays heavily upon the heavens and the earth. It will not come upon you except unexpectedly."" They ask you as if you are familiar with it. Say, ""Its knowledge is only with Allah, but most of the people do not know.""']"
139,10,139_an easy_easy for_there any_qur,"['an easy', 'easy for', 'there any', 'qur', 'qur an', 'any who', 'so there', 'will remember', 'have certainly', 'easy']","[""And We have certainly made the Qur'an easy for remembrance, so is there any who will remember?"", ""And We have certainly made the Qur'an easy for remembrance, so is there any who will remember?"", ""And We have certainly made the Qur'an easy for remembrance, so is there any who will remember?""]"
